RowName,Category,Tier,Name,Slash,Pierce,Blunt,Magic,Density
Leather_T1_Deerskin,Leather,T1,Deerskin,0.2,0.1,0.5,0.5,0.8
Scales_T2_Bronze_Scales,Scales,T2,Bronze Scales,0.4,0.3,0.7,0.5,8.4
Metals_T2_Zamak,Metals,T2,Zamak,0.3,0.2,0.5,0.6,6.7
Wood_T3_Bloodwood,Wood,T3,Bloodwood,0.6,0.5,0.7,0.4,1.0
Minerals_T4_Emerald,Minerals,T4,Emerald,0.6,0.7,0.4,0.6,2.7
Cloth_T2_Canvas,Cloth,T2,Canvas,0.2,0.2,0.6,0.5,0.9
Leather_T3_Sharkskin,Leather,T3,Sharkskin,0.6,0.7,0.6,0.3,1.0
Scales_T4_Titanium_Scales,Scales,T4,Titanium Scales,0.8,0.7,0.8,0.2,4.43
Metals_T4_Nitinol,Metals,T4,Nitinol,0.7,0.7,0.7,0.3,6.45
Wood_T4_Wenge,Wood,T4,Wenge,0.7,0.6,0.8,0.3,0.85
Minerals_T5_Ruby,Minerals,T5,Ruby,0.7,0.8,0.5,0.5,4.0
Cloth_T3_Kevlar,Cloth,T3,Kevlar,0.8,0.9,0.3,0.1,1.44
Leather_T4_Stingray,Leather,T4,Stingray,0.7,0.8,0.5,0.2,1.2
Scales_T5_Adamantite_Scales,Scales,T5,Adamantite Scales,1.0,0.9,0.9,0.1,10.0
Metals_T5__Cobalt_Alloy,Metals,T5,Cobalt Alloy,0.9,0.8,0.8,0.1,8.8
Wood_T5_Ebony,Wood,T5,Ebony,0.8,0.7,0.9,0.2,1.2
Minerals_T5_Sapphire,Minerals,T5,Sapphire,0.7,0.8,0.5,0.5,4.0
